Cloud or On-Premise,Lead Source,Opportunity Owner,Stage,Close Date,Type,Amount,Company Country (CB),Company Industry (CB)
,Web,Dave,Lost,10/13/2021,New,1000,United States,Airlines
,,Dave,Lost,5/31/2018,New,1000,United States,Airlines
On-Premise,,Dave,Lost,7/1/2020,Upsell,1000,United States,Airlines
,,Fred,Lost,12/15/2020,Partnership,1000,United States,Airlines
,Partner,Greg,Won,1/24/2022,Upsell,1000,United States,Airlines
,,Paul,Lost,12/28/2018,New,1000,United States,Airlines
Cloud A,,Sammy,Lost,8/30/2019,New,1000,United Kingdom,Airlines
,Partner,Steve,Requalify,3/18/2022,New,1000,Canada,Airlines
,Partner,Steve,Won,6/8/2021,Upsell,1000,United States,Airlines
,Partner,Steve,Won,9/20/2021,Upsell,1000,United States,Airlines
,,Susans,Lost,6/30/2017,Upsell,1000,United States,Airlines
,,Susans,Lost,6/29/2018,Upsell,1000,United States,Airlines
,,Susans,Lost,12/30/2017,Upsell,1000,United States,Airlines
,,Susans,Lost,12/30/2016,Upsell,1000,United States,Airlines
,,Susans,Lost,4/9/2018,New,1000,United States,Airlines
,,Susans,Lost,6/30/2018,New,1000,United States,Airlines
Cloud A,,Tom,Lost,11/15/2019,New,1000,Finland,Airlines
On-Premise,,Susans,Won,10/19/2018,Upsell,10000,United States,Airlines
Cloud B,Partner,Susans,Won,2/11/2019,Upsell,10000,United States,Airlines
,,Sammy,Won,6/27/2018,Upsell,20000,Turkey,Airlines
Cloud B,Partner,Susans,Won,12/13/2018,Upsell,40000,United States,Airlines
,,Susans,Lost,8/31/2016,Upsell,50000,Turkey,Airlines
Cloud A,Web,Tom,Lost,7/31/2020,New,50000,Colombia,Airlines
Cloud B,Partner,Susans,Won,4/11/2019,Upsell,50000,United States,Airlines
Cloud B,Partner,Susans,Lost,9/30/2020,New,75000,United States,Airlines
,,Sammy,Won,2/10/2019,Upsell,75000,United States,Airlines
Cloud B,,Dave,Lost,4/1/2022,New,100000,United States,Airlines
,,Ed,Qualification,5/30/2022,New,100000,United States,Airlines
,Web,Paul,Meeting,9/30/2022,New,100000,Spain,Airlines
Cloud B,,Steve,Lost,12/18/2020,New,100000,United Kingdom,Airlines
,,Susans,Lost,3/31/2016,,100000,United States,Airlines
Cloud B,,Susans,Lost,9/30/2020,New,100000,United States,Airlines
,Partner,Craig,Meeting,5/31/2022,New,100000,Colombia,Airlines
Cloud B,Partner,Susans,Won,12/13/2018,New,150000,United States,Airlines
,Partner,Greg,Proposal,12/11/2022,Renewal,150000,United States,Airlines
Cloud B,Partner,Steve,Lost,12/12/2019,Renewal,150000,United States,Airlines
On-Premise,,Susans,Won,5/1/2018,New,150000,United States,Airlines
On-Premise,,Dave,Lost,7/31/2020,Upsell,150000,United States,Airlines
On-Premise,,Dave,Lost,11/12/2020,Renewal,200000,United States,Airlines
Cloud B,Partner,Steve,Won,12/12/2019,Renewal,200000,United States,Airlines
On-Premise,,Susans,Won,11/6/2018,Upsell,200000,United States,Airlines
On-Premise,,Dave,Won,11/6/2019,Renewal,200000,United States,Airlines
,Web,Paul,Meeting,3/31/2022,New,200000,Turkey,Airlines
,Partner,Susans,Lost,8/31/2017,Upsell,1000,United States,al Products
Cloud C,Partner,Sammy,Proposal,6/30/2021,Renewal,20000,United States,al Products
Cloud C,Partner,Sammy,Proposal,7/31/2021,Renewal,100000,United States,al Products
Cloud C,Partner,Susans,Won,2/28/2020,New,150000,United States,al Products
Cloud C,Partner,Sammy,Proposal,11/30/2021,Renewal,150000,United States,al Products
Cloud C,Import,Larry,Proposal,6/30/2022,Renewal,200000,United States,al Products
,Partner,Alex,Lost,4/16/2021,New,1000,Germany,Automotive
,Partner,Alex,Lost,4/30/2021,Upsell,1000,Germany,Automotive
,Web,Dave,Lost,4/1/2022,New,1000,Sweden,Automotive
,Web,Dave,Lost,1/27/2021,New,1000,France,Automotive
,,Paul,Lost,11/30/2018,New,1000,United States,Automotive
,Partner,Paul,Lost,9/30/2021,New,1000,United States,Automotive
Cloud B,,Paul,Lost,12/31/2018,New,1000,United States,Automotive
,,Paul,Lost,12/31/2018,New,1000,United States,Automotive
,,Paul,Lost,12/31/2018,New,1000,United States,Automotive
On-Premise,,Sammy,Lost,7/27/2018,New,1000,Germany,Automotive
On-Premise,Partner,Sammy,Lost,12/21/2018,New,1000,Germany,Automotive
Cloud B,Partner,Steve,Lost,10/1/2021,New,1000,Canada,Automotive
,,Susans,Lost,9/30/2017,Upsell,1000,United States,Automotive
,,Susans,Lost,3/30/2018,New,1000,United States,Automotive
,,Susans,Lost,3/30/2018,Upsell,1000,United States,Automotive
On-Premise,Web,Tom,Lost,12/1/2020,New,1000,United States,Automotive
,Partner,Paul,Won,5/19/2021,Renewal,10000,United States,Automotive
Cloud B,Partner,Paul,Won,2/23/2021,Renewal,20000,United States,Automotive
,Web,Alex,Lost,12/31/2019,New,20000,India,Automotive
,,Susans,Lost,12/18/2017,Upsell,20000,Japan,Automotive
,,Susans,Lost,3/31/2016,Upsell,20000,United States,Automotive
,,Sammy,Lost,12/31/2018,New,40000,Turkey,Automotive
,,Susans,Lost,1/18/2016,Upsell,50000,United States,Automotive
On-Premise,,Steve,Lost,2/28/2019,New,50000,United States,Automotive
,,Dave,Won,5/19/2021,Upsell,50000,United States,Automotive
,,Larry,Proposal,5/25/2022,Renewal,50000,United States,Automotive
,,Dave,Lost,10/13/2020,New,50000,United States,Automotive
,,Susans,Lost,10/16/2015,Upsell,75000,United States,Automotive
Cloud B,Partner,Alex,Won,12/19/2019,New,75000,Germany,Automotive
Cloud B,Partner,Alex,Won,12/2/2021,Renewal,75000,Germany,Automotive
Cloud B,Partner,Alex,Won,12/4/2020,Renewal,75000,Germany,Automotive
Cloud B,,Joe,Proposal,12/20/2022,Renewal,75000,Germany,Automotive
Cloud A,,Mary,Qualification,6/30/2022,New,100000,United States,Automotive
,,Dave,Won,11/23/2020,Upsell,100000,United States,Automotive
,,Dave,Won,10/20/2021,Renewal,100000,United States,Automotive
,,Larry,Proposal,11/6/2022,Renewal,100000,United States,Automotive
Cloud C,,Steve,Lost,2/26/2021,New,100000,United States,Automotive
Cloud B,Partner,Paul,Lost,3/15/2019,New,150000,Germany,Automotive
Cloud B,,Dave,Won,6/26/2020,Renewal,150000,United States,Automotive
Cloud B,,Dave,Won,7/1/2021,Renewal,150000,United States,Automotive
Cloud B,Partner,Dave,Lost,9/4/2020,Upsell,150000,United States,Automotive
Cloud B,,Larry,Proposal,7/14/2022,Renewal,150000,United States,Automotive
Cloud B,Event,Dave,Won,6/28/2019,New,150000,United States,Automotive
On-Premise,Web,Paul,Qualification,7/29/2022,New,150000,France,Automotive
Cloud B,Partner,Susans,Won,1/1/2020,New,150000,United States,Automotive
Cloud B,Partner,Dave,Lost,9/30/2020,Upsell,150000,United States,Automotive
,,Sammy,Lost,12/31/2018,New,150000,Italy,Automotive
,Partner,Joe,Meeting,8/24/2022,New,200000,United States,Automotive
Cloud C,,Joe,Proposal,11/7/2022,Renewal,200000,United States,Automotive
Cloud C,Partner,Paul,Won,11/8/2021,New,200000,United States,Automotive
,Partner,Joe,Meeting,5/31/2022,New,200000,Germany,Automotive
,Partner,Larry,Meeting,3/31/2022,,200000,United States,Automotive
,Partner,Larry,Meeting,3/31/2022,,200000,United States,Automotive
,Web,Dave,Lost,4/1/2022,New,1000,United States,Banks
,,Dave,Lost,5/4/2018,New,1000,United States,Banks
,Web,Paul,Requalify,2/28/2022,New,1000,Canada,Banks
,,Sammy,Lost,12/31/2017,Upsell,1000,Russia,Banks
,,Sammy,Lost,2/28/2018,New,1000,India,Banks
,,Steve,Lost,12/31/2016,Upsell,1000,Canada,Banks
,,Susans,Lost,8/25/2017,New,1000,United States,Banks
,,Susans,Lost,9/30/2017,New,1000,United States,Banks
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Banks
,,Susans,Lost,6/30/2018,New,1000,United States,Banks
,,Tom,Lost,12/30/2016,Upsell,1000,United States,Banks
,,Tom,Lost,3/31/2017,New,1000,Singapore,Banks
,,Sammy,Won,3/31/2017,Upsell,20000,Turkey,Banks
,,Sammy,Proposal,3/31/2021,Renewal,20000,Turkey,Banks
,,Sammy,Won,3/31/2017,Upsell,40000,Turkey,Banks
Cloud B,Partner,Sammy,Lost,4/30/2019,New,40000,Italy,Banks
Cloud B,,Alex,Won,3/6/2020,New,40000,India,Banks
Cloud B,,Alex,Lost,3/5/2021,Renewal,40000,India,Banks
Cloud A,Web,Steve,Lost,12/11/2020,New,50000,United Kingdom,Banks
,Partner,Paul,Validation,9/30/2022,New,75000,Poland,Banks
,,Susans,Lost,6/30/2016,Upsell,75000,Turkey,Banks
,,Sammy,Won,3/31/2017,Upsell,80000,Chile,Banks
,Partner,Alex,Lost,3/4/2021,New,90000,India,Banks
,,Sammy,Proposal,3/31/2021,Renewal,100000,Turkey,Banks
,,Sammy,Won,3/30/2018,Upsell,100000,Turkey,Banks
,,Susans,Lost,10/2/2015,Upsell,100000,United States,Banks
,,Sammy,Won,3/31/2015,Upsell,200000,Turkey,Banks
On-Premise,Web,Alex,Lost,10/8/2020,New,200000,Kazakhstan,Banks
Cloud B,Web,Susans,Lost,6/30/2020,New,50000,France,Beverages
Cloud C,,Steve,Lost,8/21/2020,New,80000,United States,Beverages
,Web,Susans,Lost,10/7/2019,New,100000,United States,Beverages
,Web,Charlie,Lost,11/12/2021,New,1000,United States,Biotechnology
,,Susans,Lost,5/5/2017,New,1000,United States,Biotechnology
,,Susans,Lost,8/31/2018,Upsell,1000,United States,Biotechnology
,,Susans,Lost,6/29/2018,New,1000,United States,Biotechnology
Cloud A,Web,Tom,Lost,3/31/2020,New,50000,United States,Biotechnology
On-Premise,Web,Dave,Lost,2/28/2020,New,50000,United States,Biotechnology
,Web,Sammy,Proposal,6/30/2022,New,75000,United Kingdom,Biotechnology
,Web,Amy,Qualification,12/30/2022,New,80000,United States,Biotechnology
,,Susans,Won,12/28/2017,New,90000,United States,Biotechnology
Cloud B,,Paul,Lost,9/30/2019,New,100000,United States,Biotechnology
,,Susans,Lost,7/31/2015,Upsell,100000,United States,Biotechnology
Cloud A,Web,Craig,Lost,9/7/2021,New,150000,United States,Biotechnology
,Web,Mary,Lost,7/28/2022,New,1000,United States,Biotechnology
,,Steve,Lost,3/30/2018,Upsell,1000,Sweden,Biotechnology
,,Tom,Lost,12/31/2016,New,1000,United States,Biotechnology
,Web,Amy,Validation,8/26/2022,New,50000,Canada,Biotechnology
,Web,Larry,Meeting,6/8/2022,New,100000,United States,Biotechnology
,Web,Greg,Lost,12/31/2021,New,1000,United States,Finance
,,Susans,Lost,12/30/2016,New,1000,Japan,Finance
,,Susans,Lost,5/10/2018,New,1000,United States,Finance
,,Susans,Lost,3/31/2017,Upsell,1000,United States,Finance
,,Susans,Lost,4/12/2018,New,1000,United States,Finance
,Web,Tom,Requalify,3/30/2022,New,1000,United States,Finance
,,Sammy,Won,12/31/2013,Upsell,40000,Turkey,Finance
,,Steve,Lost,11/27/2020,New,40000,United States,Finance
,Web,Sammy,Lost,4/28/2022,New,75000,United States,Finance
,,Sammy,Lost,6/29/2018,New,100000,Brazil,Finance
,,Alex,Lost,10/6/2021,New,1000,Thailand,Finance
Cloud B,,Steve,Lost,12/11/2020,New,40000,United States,Finance
,Web,Nancy,Meeting,9/30/2022,New,200000,France,Finance
Cloud A,Web,Paul,Lost,7/22/2021,New,1000,United States,Finance
Cloud B,,Steve,Lost,8/20/2020,New,80000,United States,Finance
,Web,Charlie,Lost,11/12/2021,New,1000,United States,Finance
,Web,Charlie,Requalify,7/6/2021,New,1000,United States,Finance
,,Susans,Lost,9/30/2016,Upsell,1000,United States,Finance
,,Susans,Lost,3/31/2016,Upsell,1000,United States,Finance
,,Susans,Lost,9/25/2015,Upsell,1000,United States,Finance
,,Susans,Lost,12/31/2016,New,1000,United States,Finance
,,Susans,Lost,6/30/2016,Upsell,1000,Brazil,Finance
,,Susans,Lost,12/30/2016,Upsell,1000,United States,Finance
,,Susans,Lost,12/30/2016,Upsell,1000,United States,Finance
,,Susans,Lost,12/31/2016,New,1000,United States,Finance
,,Susans,Lost,3/26/2018,New,1000,United States,Finance
,,Susans,Lost,8/24/2018,Upsell,1000,United States,Finance
,,Susans,Lost,12/31/2016,Upsell,1000,United States,Finance
,,Tom,Lost,6/30/2017,New,1000,Tunisia,Finance
Cloud C,,Tom,Won,1/7/2021,New,1000,France,Finance
,,Susans,Lost,2/28/2018,New,20000,United States,Finance
Cloud C,,Larry,Won,1/7/2022,Renewal,40000,France,Finance
Cloud C,,Larry,Proposal,1/6/2023,Renewal,40000,France,Finance
,,Susans,Lost,12/29/2017,New,50000,United States,Finance
,Web,Joe,Validation,6/30/2022,New,75000,United Kingdom,Finance
,Web,Nancy,Meeting,6/30/2022,New,75000,United Kingdom,Finance
On-Premise,,Paul,Lost,3/29/2019,Upsell,75000,United States,Finance
,,Susans,Lost,11/6/2015,Upsell,80000,United States,Finance
,Web,Dave,Requalify,3/18/2022,New,90000,United States,Finance
,,Susans,Lost,9/15/2014,Upsell,100000,United States,Finance
,,Susans,Lost,6/30/2015,Upsell,100000,United States,Finance
,,Susans,Lost,3/31/2016,Upsell,100000,United States,Finance
,,Susans,Lost,9/30/2016,Upsell,100000,United States,Finance
,,Susans,Lost,5/31/2016,,100000,United States,Finance
On-Premise,,Susans,Lost,7/31/2018,New,100000,United States,Finance
,Web,Mary,Validation,3/31/2022,New,200000,United States,Finance
,Web,Mary,Meeting,3/31/2022,,200000,United States,Finance
Cloud C,Partner,Dave,Lost,4/12/2021,New,1000,Finland,Finance
,Web,Mary,Meeting,6/30/2023,New,1000,United States,Finance
Cloud B,,Paul,Lost,12/31/2018,New,1000,United States,Finance
,,Paul,Lost,12/28/2018,New,1000,United States,Finance
On-Premise,,Sammy,Lost,9/27/2018,New,1000,Germany,Finance
,Web,Steve,Lost,11/19/2021,New,1000,Canada,Finance
Cloud A,,Steve,Lost,12/2/2020,Renewal,1000,Germany,Finance
,Partner,Susans,Lost,12/31/2016,New,1000,United States,Finance
,,Susans,Lost,12/30/2016,Upsell,1000,United States,Finance
,,Susans,Lost,3/30/2018,Upsell,1000,United States,Finance
,,Tom,Lost,3/31/2017,New,1000,Finland,Finance
Cloud B,,Steve,Lost,4/15/2020,Renewal,40000,Germany,Finance
On-Premise,,Steve,Lost,11/27/2020,New,50000,Germany,Finance
,Web,Amy,Meeting,7/29/2022,New,50000,United States,Finance
Cloud A,,Steve,Won,12/30/2019,Upsell,50000,Germany,Finance
Cloud B,,Steve,Won,4/15/2019,New,50000,Germany,Finance
,,Susans,Lost,12/29/2017,Upsell,80000,United States,Finance
Cloud B,Partner,Susans,Requalify,9/30/2019,New,100000,United States,Finance
,Web,Alex,Requalify,10/31/2021,New,1000,Hong Kong,Consumer
Cloud B,Web,Alex,Lost,8/6/2021,New,1000,Singapore,Consumer
Cloud C,Partner,Steve,Lost,6/21/2019,New,1000,Canada,Consumer
,,Susans,Won,12/31/2014,Upsell,20000,United States,Consumer
,,Susans,Lost,3/17/2017,Upsell,20000,Japan,Consumer
,Web,Sammy,Lost,4/30/2019,New,40000,United Kingdom,Consumer
,Partner,Susans,Lost,3/31/2016,Upsell,40000,United States,Consumer
,Partner,Susans,Lost,8/31/2015,Upsell,50000,United States,Consumer
,Partner,Susans,Lost,10/4/2015,Upsell,50000,United States,Consumer
,Partner,Susans,Lost,8/31/2015,Upsell,50000,United States,Consumer
,,Susans,Lost,6/29/2018,Upsell,50000,United States,Consumer
Cloud C,Web,Joe,Qualification,9/30/2022,New,50000,United States,Consumer
On-Premise,Partner,Paul,Requalify,7/29/2022,New,75000,United States,Consumer
,,Susans,Lost,6/30/2015,Upsell,75000,United States,Consumer
Cloud B,,Dave,Lost,4/30/2020,New,80000,United States,Consumer
Cloud C,Web,Paul,Won,2/15/2022,New,90000,United States,Consumer
Cloud C,,Paul,Proposal,9/23/2022,Upsell,100000,United States,Consumer
,,Susans,Lost,5/29/2015,Upsell,100000,United States,Consumer
Cloud C,Partner,Tom,Requalify,1/30/2020,New,100000,Brazil,Consumer
Cloud C,,Paul,Proposal,2/14/2023,Renewal,150000,United States,Consumer
,,Susans,Lost,9/30/2020,New,150000,United States,Consumer
Cloud C,Partner,Paul,Requalify,8/26/2022,New,1000,United States,Consumer
On-Premise,Web,Steve,Won,12/4/2020,Renewal,1000,United States,Consumer
,,Susans,Lost,3/30/2017,Upsell,1000,United States,Consumer
,,Susans,Lost,4/27/2018,New,1000,United States,Consumer
On-Premise,Web,Steve,Won,12/10/2019,Renewal,40000,United States,Consumer
On-Premise,Web,Nancy,Proposal,12/9/2022,Renewal,40000,United States,Consumer
On-Premise,Web,Steve,Won,11/12/2021,Renewal,40000,United States,Consumer
On-Premise,Web,Susans,Won,11/29/2018,New,50000,United States,Consumer
,,Susans,Won,6/29/2017,New,50000,United States,Consumer
Cloud C,Web,Paul,Lost,9/15/2021,New,150000,France,Consumer
,,Sammy,Lost,6/28/2018,New,1000,Germany,Consumer
,,Susans,Lost,12/23/2016,Upsell,1000,United States,Consumer
Cloud B,Partner,Susans,Lost,8/12/2018,New,1000,United States,Consumer
,,Susans,Lost,3/31/2017,Upsell,1000,United States,Consumer
,,Susans,Lost,8/31/2018,New,1000,United States,Consumer
Cloud A,,Alex,Proposal,3/5/2022,Renewal,20000,India,Consumer
Cloud A,,Alex,Won,9/12/2019,New,40000,India,Consumer
Cloud B,Web,Tom,Requalify,5/29/2020,New,40000,Israel,Consumer
Cloud B,,Alex,Won,5/14/2021,Renewal,40000,India,Consumer
Cloud B,,Alex,Won,12/4/2020,Renewal,40000,India,Consumer
Cloud A,,Alex,Won,6/30/2020,Upsell,50000,India,Consumer
Cloud A,,Alex,Won,12/8/2020,Upsell,50000,India,Consumer
Cloud A,,Alex,Won,12/27/2021,Renewal,50000,India,Consumer
Cloud B,Partner,Steve,Lost,7/24/2020,New,50000,United States,Consumer
Cloud B,,Steve,Lost,6/30/2019,New,50000,United States,Consumer
,Partner,Susans,Lost,9/30/2020,New,50000,United States,Consumer
,,Sammy,Lost,6/30/2017,New,75000,Mexico,Consumer
Cloud B,Web,Susans,Lost,9/30/2020,New,80000,United States,Consumer
,,Alex,Proposal,3/15/2022,Upsell,80000,India,Consumer
,Web,Greg,Lost,3/31/2022,New,100000,Israel,Consumer
Cloud C,Web,Dave,Lost,4/1/2022,New,1000,Austria,Consumer
,,Susans,Lost,5/25/2018,Upsell,1000,United States,Consumer
,Partner,Paul,Meeting,9/30/2022,New,50000,Switzerland,Consumer
,,Susans,Lost,2/22/2019,New,80000,United States,Consumer
Cloud B,,Dave,Lost,4/30/2020,New,80000,United States,Consumer
,Partner,Larry,Won,2/16/2022,Upsell,50000,Netherlands,Distributors
Cloud C,Partner,Dave,Won,1/14/2021,New,80000,Netherlands,Distributors
Cloud C,Partner,Dave,Won,12/17/2021,Renewal,80000,Netherlands,Distributors
Cloud C,Partner,Larry,Proposal,1/13/2023,Renewal,80000,Netherlands,Distributors
Cloud B,Web,Dave,Lost,4/30/2020,New,80000,Canada,Distributors
Cloud B,,Paul,Requalify,12/31/2018,New,1000,Canada,Distributors
,Web,Steve,Lost,11/19/2021,New,1000,Ireland,Distributors
,,Susans,Lost,6/30/2018,New,1000,United States,Distributors
,Partner,Susans,Requalify,9/29/2016,Partnership,1000,United States,Distributors
,,Susans,Lost,9/29/2017,Upsell,1000,United States,Distributors
On-Premise,,Tom,Lost,12/31/2018,New,1000,United States,Distributors
On-Premise,Web,Steve,Lost,11/5/2020,New,40000,Canada,Distributors
,,Susans,Lost,1/31/2017,Upsell,50000,Canada,Distributors
,,Susans,Lost,11/30/2017,New,75000,United States,Distributors
Cloud B,,Susans,Requalify,11/14/2019,Upsell,80000,United States,Distributors
Cloud A,,Dave,Lost,7/31/2020,New,150000,United States,Distributors
On-Premise,,Susans,Lost,6/30/2016,Upsell,200000,United States,Distributors
On-Premise,Web,Alex,Lost,1/30/2021,New,1000,Australia,Distributors
Cloud C,Web,Alex,Won,2/26/2021,New,1000,India,Distributors
,,Charlie,Lost,1/16/2021,New,1000,United States,Distributors
,,Charlie,Lost,2/20/2021,New,1000,United States,Distributors
,Web,Craig,Meeting,6/28/2022,New,1000,United States,Distributors
,,Dave,Lost,6/12/2018,New,1000,United States,Distributors
On-Premise,Web,Dave,Lost,4/1/2022,New,1000,Germany,Distributors
,Web,Dave,Lost,10/1/2021,New,1000,Germany,Distributors
On-Premise,Partner,Dave,Lost,1/21/2022,New,1000,Spain,Distributors
,Web,Greg,Requalify,7/16/2021,New,1000,United States,Distributors
,Web,Greg,Requalify,7/16/2021,New,1000,United States,Distributors
,Web,Greg,Lost,12/31/2021,New,1000,United States,Distributors
,Web,Greg,Requalify,7/16/2021,New,1000,United States,Distributors
On-Premise,,Greg,Requalify,5/28/2021,New,1000,United States,Distributors
,Web,Joe,Requalify,5/7/2021,New,1000,United States,Distributors
,Web,Larry,Lost,12/31/2021,New,1000,France,Distributors
,Event,Paul,Lost,3/3/2021,New,1000,United States,Distributors
,,Paul,Lost,12/31/2018,New,1000,United States,Distributors
,,Paul,Lost,6/29/2018,New,1000,United States,Distributors
Cloud B,Web,Sammy,Lost,6/30/2019,New,1000,Australia,Distributors
,,Sammy,Lost,12/14/2018,New,1000,Germany,Distributors
,,Steve,Lost,3/30/2018,New,1000,Canada,Distributors
,,Steve,Lost,12/28/2017,New,1000,United States,Distributors
,Web,Steve,Lost,9/17/2021,New,1000,United Kingdom,Distributors
Cloud B,Partner,Steve,Won,6/30/2021,New,1000,United States,Distributors
Cloud C,Partner,Steve,Requalify,3/19/2021,Upsell,1000,United Kingdom,Distributors
Cloud C,,Steve,Lost,1/15/2021,Renewal,1000,United Kingdom,Distributors
On-Premise,,Steve,Lost,9/24/2021,New,1000,Switzerland,Distributors
,Web,Steve,Lost,12/31/2021,New,1000,United Kingdom,Distributors
